count,text
214,"Today, the world celebrates the legacy of Dr. Martin Luther King, Jr. At BU, we celebrate the impact our alumnus ha… https://t.co/WJyZl10END"
154,"The moment when we surpass @BostonCollege in Instagram followers. 

Follow us here➡️https://t.co/Sl6GnhJ9fj https://t.co/sadHgGVjdR"
140,Today's vibes... https://t.co/KxBma1aldm
139,Isn’t it a beaut? 😍🐾❤️🔺 https://t.co/hcCP6oLjXv
134,"A BU-tiful night, we're happy tonight... ❄️ #TerrierTown [📸 credit: @arjunkumar1108] https://t.co/8zsg8gV8e6"
112,You'll always have a home here. 🏘 #TerrierTown https://t.co/dfWxuk8qIU
109,The notifications are out. Congratulations to our newest Terriers! Welcome to the BU family! #BU2024 #BUEarlyBirds… https://t.co/XGV15J0Ij7
103,Happy New Year from our BU family to yours! 🥳 https://t.co/J3QOVQnXyQ
96,Stunning in every season. ❄️🌷🌳🍁 [📸 credit: @alicelee26] https://t.co/Te0tShKSDU
95,Down by the river...[📸 credit: @onesmartkiwi] #terriertown https://t.co/JIyUaBt3CI
91,The view from the other side of the bridge. Not too shabby. 👌 https://t.co/AjtI8nvku8
90,Lighting up the night. 💡 #TerrierTown https://t.co/mAOSNlEuu6
88,Happy Holidays from our BU family to yours! #ProudtoBU https://t.co/UwzxF3Hy9O
88,Forget about French hens and ladies dancing and partridges in pear trees. There’s a new holiday song you have to he… https://t.co/rkaI7i141k
80,🔺❤️🐾 #terriertown [📸 credit: @mjyee8] https://t.co/fdRBULrN2Y
75,"Today's forecast may call for 50-degree weather, but winter is in full force here in #Boston. https://t.co/ZTPTWvFAf5"
74,"Sleigh bells ring, are you listening? In the lane, BU is glistening. ☃️ https://t.co/vKt7UIlrgL"
71,"Today the University &amp; @CityOfBoston broke ground on the new Center for Computing &amp; Data Sciences, Boston’s biggest… https://t.co/1UJGa656Ey"
59,Was today a beach day or a Winter day? We’re confused. 🤔 #terriertown https://t.co/kBNPSTavz4
57,Riding off into the weekend. 👋 Happy Friday! #TerrierTown https://t.co/EVDXKkI1W9
