count,text
158,It's a winter wonderland on campus today. ❄️ #RIT https://t.co/m0B6cK4j6a
104,"Happy New Year, Tigers! We wish you a wonderful and fulfilling 2020 filled with success and happiness. See you back… https://t.co/sVymFz5CTr"
103,Officially sweater weather for this Tiger. #RIT https://t.co/vi8HxF6gVv
87,"Finals are over! Wherever you're spending the holidays, we wish you safe travels and a restful break. We'll see you… https://t.co/hCIwq2pekW"
83,"Awesome win, awesome reaction video. Way to go @RITesports! https://t.co/UvY7d3Acw3"
82,The @RITesports @PlayHearthstone team was named best in North America at the 2019 Hearthstone Collegiate Championsh… https://t.co/h2iy05lbHf
72,The success of @RITMHKY was one of the most inspiring stories in college hockey in 2010 with their first-ever appea… https://t.co/gpKZBsf29s
70,"Wishing you good luck as you start finals, Tigers! You've got this. #RIT #FinalsWeek https://t.co/o6InaK5b7U"
68,"At Rochester Institute of Technology, we make joy. 

On behalf of the entire #RIT family, may you make, experience,… https://t.co/s8m0miLLi5"
67,Last Friday of classes Tigers! You're powering through. You've got this! Make it an awesome day. #RIT https://t.co/89CDECq1WI
65,"No matter who wins tonight's game between 
@LSU and @ClemsonUniv,  we're still the Tigers with the longest undefeat… https://t.co/TW17xUZZq6"
65,Golden hour on campus ✨☀️#RIT https://t.co/acxReStdp0
57,The 2009-2010 @RITMHKY team created a frenzy on campus and ignited school spirit. With their first-ever appearance… https://t.co/1oIBeCrt8R
57,"One week until the start of spring semester, Tigers! We hope you're enjoying your break, but can't wait to have you… https://t.co/UcAU6FkFEL"
56,"Today’s the day... it’s the last day of #FinalsWeek, Tigers! Just keep swimming. You’re almost there! #RIT https://t.co/hwMwVJ0y7q"
55,Hey @SportsCenter...Goal No. 5? #SCTop10 worthy.  #RIT https://t.co/W6G8OUsy0k
53,It's the day before finals...here's a live look at our students. #RIT #ReadingDay #Studying 📚 https://t.co/5x9PwSGHVc
52,"Officially the last Friday before spring semester begins. Enjoy your weekend, Tigers! Can't wait to see you back on… https://t.co/96MgC7qDJN"
50,🐯🐯🐯🐯🐯🔥🔥🔥🔥🔥 https://t.co/BuNWkFlOT6
50,"Happy last day of classes, Tigers! So close to the end of the semester...let's do this. https://t.co/quDKxhCKwD"
49,"Sam Cammarata, fourth-year @ritsois student, co-founded and co-owns @aesthetic_labs, an art focused video game coll… https://t.co/cZfskKdCd2"
47,Yes... yes you are. https://t.co/tVbtksLL9p
46,"Happy Friday, Tigers! The first week of classes is almost done...we're so close to the weekend! #RIT https://t.co/3OPt6FYiyY"
45,"You made it through the first few days of finals, Tigers! Find some time to relax if you can this weekend, you dese… https://t.co/jwBo60Rimm"
44,"Welcome back, Tigers! We're thrilled to have you back on campus and looking forward to a great semester. #RIT https://t.co/Kk211hvlb9"
42,"We're back for another #NationalComplimentDay! To spread the love, we'll be here all day giving out compliments. Tw… https://t.co/ozj6cW16hB"
41,.@usnews has recognized #RIT for offering some of the best online undergraduate and graduate programs in the nation… https://t.co/uvJ4DBtUyo
41,.@PeaceCorps Director Josephine “Jody” Olsen (@PeaceCorpsDir) will be the keynote speaker at our annual commencemen… https://t.co/NjRJV0UFzW
38,.@ritntid alumna Christine Sun Kim will be signing the National Anthem and America the Beautiful as part of Super B… https://t.co/ICE4rkhgsP
