count,text
43,"This weekend, @joshgroban performed at @EMPACnews  with our students to raise money for Rensselaer student scholars… https://t.co/t7b5Btdxq2"
14,"Happy birthday, #RPI! https://t.co/94l0c3d84c"
12,"Ikea will use mushroom packaging developed by Ecovative, a company created by Rensselaer graduates Eben Bayer ’07 a… https://t.co/A2xHViM1tB"
11,"RT @RPInews: Researchers at @RPI have developed a way to #3Dprint living skin, complete with blood vessels. #science https://t.co/nDVRyCJTT…"
11,"AiMOS, the most powerful supercomputer housed at a private university, was unveiled this afternoon as the latest ad… https://t.co/setfpjjizN"
11,A new degree program in biological neuroscience is coming to #RPI this spring. https://t.co/JSeJGFiupg https://t.co/3Ta2rNrkmK
10,RT @MEngineeringMag: Bioengineers have developed a way to incorporate blood vessels into #3Dprinted living skin #3Dprinted #bioengineering…
10,Nothing better than football under the lights on a beautiful fall evening! https://t.co/DG6RN8QVts
9,"Students and faculty from #RPI, @ualbany and @AlbanyLaw have collaborated on a pop-up exhibit that pays tribute to… https://t.co/WEhkO6Z5hI"
9,RT @RPInews: Baseball Facility at @RPI To Be Named In Honor of Longtime Coach Karl Steffen: https://t.co/iHIS8cdGz7 https://t.co/kavXj6v1tS
9,Professor James Hendler and Sharone Horowit-Hendler discuss gender stereotyping in artificial intelligence and what… https://t.co/AYAdHs9fNK
9,"At #RPI, we’re reflecting on everything that makes our community so special. Happy Holidays! @RPIScience @RPI_HASS… https://t.co/uhl0qCW25C"
8,"Rensselaer researchers recently developed a way to 3D print living skin with blood vessels, a significant step towa… https://t.co/kL142G3xap"
8,RT @goHackRPI: We are less than 50 days from our event and REGISTRATION IS NOW OPEN! Come solve the biggest problems in tech  at @rpi’s 24-…
8,"RT @RPIAlumni: #DidYouKnow that the 43rd annual Big Red Freakout takes place on Saturday, February 1, 2020!?
Don't miss the Big Red Freakou…"
8,America needs more young people involved in #STEM subjects to maintain its position as a global leader. Don’t overl… https://t.co/TzNIJmyN76
7,RT @RPInews: Big Data Technique Reveals Previously Unknown Capabilities of Common Materials: https://t.co/CsSqP4HVpI https://t.co/FHPlVVS5Xp
7,"RT @Invent_Tech: ""I hope more women will realize they have the power to change the world.” 

In the latest issue of @Invent_Tech,  the pres…"
6,"For our community, 2019 was filled with numerous anniversaries, discoveries, and academic innovations. Check out so… https://t.co/z9IuvUXQ9a"
5,RT @RPInews: Bestselling Author Ibram X. Kendi to Speak at @RPI on February 1: https://t.co/0ek79gbQuP https://t.co/usZt7w2TBg
4,"Today Charles Taylor ’87, ’91, ’92 was awarded the #RPI Davies Medal for Engineering Achievement for his innovative… https://t.co/MNtYUIk1Ui"
4,RT @mhsimoni: #RPI Professor Ben Chang discusses 14 Top Skills for Video Game Designers to Learn https://t.co/FBdAfuEbxM
4,RT @RPInews: Development of Real-Time Analysis of Power Grid Data Receives @NSF Support: https://t.co/KRbvHvr2kW https://t.co/hd0RgmS9r1
4,RT @RPInews: Congratulations @rpi @jahendler on being named to newly formed @TheOfficialACM Technology Policy Council https://t.co/0iQ6w2fS…
4,RT @RPInews: Award-Winning Journalist and Author Peter Nowak To Speak at @RPi on Sept. 23: https://t.co/MwbuZyMsbh https://t.co/9cekkZNcxr
4,"RT @RPIPeterK: Who’s excited for #Rensselaer Family Weekend?!? We’re happy to welcome nearly 3,000 #RPI parents, families, &amp; siblings to ca…"
