count,text
2505,"In the latest ranking, Austin is the No. 1 college town in the country 🤘

See why: https://t.co/FS7Thw9FNp via… https://t.co/oQZ2VeuS9e"
1331,"Happy New Year, Longhorns! 

🤘🎉🤘🎉🤘🎉🤘🎉🤘

Tag a friend to help them ring in 2020 https://t.co/k20ukMnqjx"
680,"Welcome back, students! We missed you and so did the squirrels #SquirrelAppreciationDay https://t.co/n4BUdanGwc"
633,"Serious Business: Quarterback Sam Ehlinger, BBA ’21, talks about balancing the demands of @TexasFootball with the r… https://t.co/skPztkgupB"
602,We’re wishing everyone a happy holiday season from the Forty Acres 🤘 https://t.co/HVp0PwFMuJ
500,"Snow days on the Forty Acres 

❄️🤘⛄️ https://t.co/2l75WuQxT2"
453,"Today, we honor the life and legacy of Martin Luther King Jr.

Unveiled in 1999, the bronze statue of King on the E… https://t.co/bxOlwj5WLT"
370,Congratulations to @CockrellSchool professor and Nobel Laureate John Goodenough🤘 #WhatStartsHere https://t.co/dQeFDYNUFw
332,"In 1934, they met in a zoology class on the Forty Acres

Now, they're the oldest living married couple in the world… https://t.co/RCn37yrn7a"
306,"Stay warm, Longhorns ❄️🤘

📸 by alumna and staff member Renee Babcock (@renegade500) https://t.co/GbrGACPqpo"
292,"This was incredible 🤘 
https://t.co/REtyt5ayQZ"
283,"The best news of 2019 right here 🤘
https://t.co/Xbio6qL50F"
279,Congratulations to all our graduates 🤘 https://t.co/cLtVjnxeBV
251,"Get one more good look, Class of 2019 🤘🎓 The #UTTower shines in your honor again tonight: https://t.co/cLtVjnxeBV https://t.co/HAQJ1ztPUU"
242,Ending 2019 with a horns up 🤘 https://t.co/HIl58Swwu3
235,Even Santa wears burnt orange 🎅🤘 #LonghornFriday https://t.co/BQolN6fuUM
193,"UT ranks No. 3 in the country for study abroad participation 🤘

These 12 inspiring photos capture our globally conn… https://t.co/CesSuXVJtx"
186,"One of our favorite memories from 2019 🤘
https://t.co/gC50dfMpgS"
182,We’re proud to support veterans 🤘🇺🇸 https://t.co/TjTc2KGowH
175,"When @CockrellSchool professor John Goodenough receives the Nobel Prize this week, he’ll become the eighth Longhorn… https://t.co/I9sV6ed2bN"
163,2019 was a pretty great year to be a Longhorn 🤘https://t.co/X2061hw9Ua
149,"97 years later, @LonghornBand’s Big Bertha still rumbles for @TexasFootball: https://t.co/XwPrrfFwo9 via @cbsaustin… https://t.co/WKlpyBAkUQ"
124,"Hook ’em,  Anne 🤘 🤘 🤘 #WhatStartsHere

https://t.co/6Vor2oOHLK"
122,The annual community march honoring the life of Martin Luther King Jr. kicks off tomorrow at 9 a.m. at the MLK Stat… https://t.co/xc1HEDGyuT
121,"The spring semester is here, and the Class of 2020 is on their way to Commencement.
 
Who do you think the #UT2020… https://t.co/95K5nIqlOh"
119,"Pretty much the best thing we saw on Twitter this year:

https://t.co/d6hDg6J7Zu"
118,"“When the Moody Center opens, it will be the finest college basketball arena in the country, hands down, as well as… https://t.co/0PaHtKj95O"
114,"His groundbreaking work could ""lead to an energy revolution”
 
https://t.co/fOyjJ7n7Mk"
110,"There's no more iconic Hollywood image than the backdrop.

One Longhorn is working to to save and celebrate these l… https://t.co/2ZxIvfYaEW"
106,Step inside Professor @McConaughey's classroom: https://t.co/IfEGCS6P2q
105,"Hook ’em, Margaret! 🤘

She’s the 27th UT Austin student to receive the prestigious Marshall scholarship since its e… https://t.co/EdjzM1CXRM"
104,UT’s School of Architecture (@UTSOA) is the No. 1 “Most Hired From” architecture program: https://t.co/LrFrjbTXMp via @dinet
102,"In a historic high, @UTexasMcCombs hit the top 10 in seven separate MBA categories in @ThePrincetonRev’s Best Busin… https://t.co/Lg10Wusa3M"
99,"If you ask Adam Kennedy, the only scientific glassblower the Forty Acres, whether he can create vials for uranium f… https://t.co/ZFQmNEVOjA"
82,Two new species of “rodeo ants” that hitch a ride on larger ants have been discovered in The Lone Star State:… https://t.co/zdAxKNl2DI
82,"Bullseye! 🏹🤘

https://t.co/iSMr5JRGZ6"
81,"Year after year, students, faculty and staff on the Forty Acres strive for excellence. 2019 was no exception 🤘https://t.co/k4fGayy75g"
80,‘Chilly’ UT Research from the Forty Acres | A roundup of ‘cool’ science and discovery: https://t.co/Z69KcxKt2v https://t.co/hp9jycnEJQ
79,"Great news 👏🤘

@CockrellSchool professor C. Grant Willson wins engineering’s highest honor for his pioneering work… https://t.co/ehXLSPcnKQ"
78,"For many years, about half of all mechanical engineering students changed majors or otherwise dropped out.

So… https://t.co/i9B0vWPcJO"
