count,text
19,Anyone catch the post-storm sunset last night? 😻 https://t.co/d482XqRsTF
14,So the sunsets the last few nights... 🌅 #ThisIsUNH https://t.co/kZVObPl1NY
14,Beautiful scene to end first semester 💙❄️ https://t.co/oMwHAaFhkI
13,Raising a glass to @UNHInnovation and the UNH Brewing Science Lab for partnering with @TuckermanBrews to craft a sp… https://t.co/Fz0Stkxa7b
13,"Enjoy your break, @UNHStudents and @UNHAlumni. We'll keep an eye on things in Durham. #ThisIsUNH 😸❄️ https://t.co/u3jUTdb7hp"
13,Campus looks like a coloring book 🍂🍁#ThisIsUNH https://t.co/YWh27j4bRc
11,"We're proud to have one of the nation’s top 100 business schools. Congratulations, @UNHPaulCollege! 🏅 https://t.co/nzT2h3lT96"
11,Our campus &gt; everything 😸🍁 https://t.co/hYwkk76ICM
10,It was a beautiful day in the neighborhood 💙 #UNHHomecoming https://t.co/34X12COUk4
9,"𝒢𝑜𝑜𝒹 𝓁𝓊𝒸𝓀 𝑜𝓃 𝒻𝒾𝓃𝒶𝓁𝓈, 𝒲𝒾𝓁𝒹𝒸𝒶𝓉𝓈! 💙 https://t.co/cja3GQLUe4"
9,"When the season changes, so does our campus. Here are a few of our favorite 📸 from the fall season 💙 https://t.co/AIfmhZhjii"
9,Home 💙 #ThisIsUNH https://t.co/N2f3OHvByk
8,"❄️ Due to predicted weather, our Durham campus will be delaying normal operations until 10am on 12/2. Conditions wi… https://t.co/H46INHK0Ah"
8,"¯\_(ツ)_/¯

💙#ThisIsUNH💙 https://t.co/6l13E9H9hV"
8,Our little winter wonderland 🌨 https://t.co/kPIMn4htnC
8,"It's tough for opponents to secure a 'W' in Wildcat Stadium, especially on #UNHHomecoming Weekend. Check out the si… https://t.co/7FNm1aUQBL"
8,Few things are better than a @UNH_Football victory on #UNHHomecoming 💙 https://t.co/hm8KvesmKk
7,😻💙 #ThisIsUNH https://t.co/XIrucuVjVS
6,"Today it’s a celebration of tradition, pride and excellence. Happy #UNHHomecoming, Wildcats! 💙 https://t.co/VLEdqoKQwE"
6,Charlee the 🐶 has nearly completed her training to officially join the @UNH_Police force as its youngest member and… https://t.co/CV4Kd5KuyP
5,"❄️ Due to predicted weather, our Durham campus will be delaying normal operations until 11am on 12/3. 

Learn more… https://t.co/Nd5S53vUyI"
5,We’re in the north country at @SpartaWMRHS with @UNHPrez discussing #HigherEd and all the amazing things @UofNH has… https://t.co/1XnYSj7gxt
5,Remember when you received your notice from @BeAUNHWildcat? #UNH24 should be hearing from them soon! #ThisIsUNH 😸 https://t.co/4loGcA3W5E
4,"❗Huge Match at Wildcat Stadium Tonight❗

@UNHMSoccer takes on @UVMmsoccer at 7 PM for the regular season title ahea… https://t.co/slFR022PlD"
4,"Welcome to #UNHHomecoming Weekend, Wildcats. 🐾 https://t.co/lQ5rJBhB7J"
4,"We know more about Mars than we do about the bottom of our oceans. Our world-renowned ocean mapping experts, such a… https://t.co/3vvgYl7K6B"
4,"We honor all who have served this #VeteransDay, including retired 4-star @usairforce Gen. Lori Robinson ‘81 and her… https://t.co/DN5RAx3HGu"
4,Update: UNH Durham to curtail operations until December 3 at 4 AM. Go to https://t.co/ubIUaQa4Re for more info. https://t.co/aQYkanjxZc
4,That's a top-100 business school - @UNHPaulCollege ✌️😸 https://t.co/0L1iH2mVes
4,Pulitzer Prize winning journalist @maggieNYT joined @twhaines and his #journalism class before speaking this evenin… https://t.co/B1FI1TcNVi
4,It was a championship performance from the @UNHWildcats women’s cross country team on Saturday - their sixth… https://t.co/AJBqeAE38E
4,Happy holidays from all of us at the 𝒰𝓃𝒾𝓋𝑒𝓇𝓈𝒾𝓉𝓎 𝑜𝒻 𝒩𝑒𝓌 𝐻𝒶𝓂𝓅𝓈𝒽𝒾𝓇𝑒 💙 https://t.co/ZmKBAlIWGh
4,"Dr. Elizabeth Burakowski, @UNH_CEPS research assistant professor affiliate, spoke at a recent @TEDx in Portsmouth a… https://t.co/1RcQ1ECVQP"
4,Charlie Nitschelm '20 couldn't believe it. The senior got to meet with @elonmusk last summer and landed a job with… https://t.co/gKEpeLPj6R
3,⛄ Enjoy the sounds of the season with Bruce Pingree's Annual Holiday Extravaganza all day today only on @WUNH 91.3… https://t.co/WyFYQ08AtJ
3,“The flexibility and adaptability of the @CarseySchool program has really allowed me to choose what I wanted to stu… https://t.co/IU6WI65g7N
3,"You've heard the Thompson Hall bells toll, now hear from Peter Urquhart, a professor of @UNHCOLA and the mastermind… https://t.co/hZaJg3kt32"
