count,text
100,"Congratulations to the newly accepted members of the Class of #WPI2024!

https://t.co/TM7Mh1B7fs https://t.co/XwCi0kqk0O"
59,#HappyHolidays https://t.co/yAR85msPwk
44,"No matter where your travels take you over winter break, you are wished a peaceful and happy holiday season from al… https://t.co/AB3uG68vTm"
37,Welcome to our #winter wonderland! https://t.co/9EfdMMCKP8
35,"Using $2M grant from @Energy, @TimkoEnergyLab is working on #research to one day enable energy-producing companies… https://t.co/BQ3tHrdgsC"
33,What’s our formula for success that leads to 95% of our graduates employed or in graduate school shortly after grad… https://t.co/jEppEcyHaj
30,"No matter what weather New England throws our way (after all, who knows which season each of these were taken in),… https://t.co/A4EAZ5IxkI"
30,Congrats professor Michael Timko of the @TimkoEnergyLab for being selected as Blue Ribbon finalist for the @NSF 202… https://t.co/vK13IEJ2lz
29,Visually impaired WPI student featured in @usnews for finding 'different path' as #engineer. https://t.co/ih296syYOK https://t.co/BOCZ2bv8nJ
25,"We are here for you. A Term, B Term, C Term, D Term, E Term, Holiday Break, the weekends, the Holidays... 365 days… https://t.co/E9qqDoKbOO"
25,Congrats professor Michael Timko of the @TimkoEnergyLab for being selected as Blue Ribbon finalist for the @NSF 202… https://t.co/Enjuhfoor8
23,See how our new Associate Dean of Undergraduate Studies Suzanne Weekes aims to expand Undergraduate #research oppor… https://t.co/zvxGgII6pt
23,American Chemical Society honors WPI professor Bruce Bursten for contributions to #inorganicchemistry.… https://t.co/zCdjmapmhM
22,Meet the group behind Gompei’s impeccable fashion sense. https://t.co/PWQBJe8kBU https://t.co/KHQ1v8fiNk
21,"WPI prof. Bruce Bursten honored as researcher, teacher, author &amp; forward-thinking leader by @AmerChemSociety.… https://t.co/2hrNTt4TU0"
20,We hope you enjoyed your winter break and are excited to welcome you back to campus! https://t.co/CwREijOecw
19,"Implementation of the #WPIPlan 50 years ago was many things: tense, frustrating, exhilarating, but most of all, rev… https://t.co/rz7nfzCgF7"
18,https://t.co/Og7R5F9td4
18,"With a flash of oversized gold scissors, President @laurieofmars led a ribbon-cutting ceremony January 14 that offi… https://t.co/SK0EzQ6K3p"
