count,text
10,"Congratulations to the newly accepted members of the Class of #WPI2024!

https://t.co/TM7Mh1B7fs https://t.co/XwCi0kqk0O"
8,"Using $2M grant from @Energy, @TimkoEnergyLab is working on #research to one day enable energy-producing companies… https://t.co/BQ3tHrdgsC"
8,"No matter what weather New England throws our way (after all, who knows which season each of these were taken in),… https://t.co/A4EAZ5IxkI"
8,"Implementation of the #WPIPlan 50 years ago was many things: tense, frustrating, exhilarating, but most of all, rev… https://t.co/rz7nfzCgF7"
7,What’s our formula for success that leads to 95% of our graduates employed or in graduate school shortly after grad… https://t.co/jEppEcyHaj
7,WPI students help young African immigrants chart their paths to the future through the local nonprofit… https://t.co/znXoXdcgdQ
7,Road salt eating your car? WPI was awarded a $1.5M grant from @ENERGY Vehicle Technologies Office to test to see if… https://t.co/pGdKly8pPF
7,RT @telegramdotcom: #Worcester airport giving away tickets to local college students https://t.co/mn12WEOPjw @FlyWorcester @WPI @ClarkUnive…
7,"RT @WBJournal: WPI opens $17M facility 

https://t.co/o5MDqo1xqZ"
7,RT @Mass_Tech: .@WPI President @LaurieofMars kicks off the launch event for the PracticePoint health technology lab. Cites the need for R&amp;D…
7,"RT @KeyesWilliam1: Worcester Polytechnic Institute’s Black Student Union teamed up with nonprofit African Community Education, raising over…"
7,"No matter where your travels take you over winter break, you are wished a peaceful and happy holiday season from al… https://t.co/AB3uG68vTm"
6,"“Forests are our atmospheric lungs—spaces that inspire contemplative thought, says Christopher James ’78. Learn mor… https://t.co/6ixzKXjijD"
6,WPI researchers receive grant to disrupt the “supply side” of #HumanTrafficking networks by reducing the vulnerabil… https://t.co/ZzBZcIDvIM
6,Visually impaired WPI student featured in @usnews for finding 'different path' as #engineer. https://t.co/ih296syYOK https://t.co/BOCZ2bv8nJ
6,"RT @WPIAdmissions: BIG NEWS! We will be releasing Early Action 1 Application Decisions this coming Monday, 12/16 at 5 pm EST through the ap…"
6,#HappyHolidays https://t.co/yAR85msPwk
5,“It is really inspiring for our students to be able to relate to someone who is like them in many ways &amp; is pursuin… https://t.co/lMg3rZxq25
5,"You never know where a degree in electrical and computer engineering will take you; for instance, this @wpialumni i… https://t.co/zvCVPmKXkz"
5,"With a flash of oversized gold scissors, President @laurieofmars led a ribbon-cutting ceremony January 14 that offi… https://t.co/SK0EzQ6K3p"
5,"RT @telegramdotcom: Engineers @WPI test new type of welding to withstand corrosion from road salt
https://t.co/TEQYKRCYg7 @MoultonCyrus @ri…"
5,RT @CoachChabs: Many senior members of @WPITrackField and @WPICrossCountry either already have jobs lined up for when they graduate in May…
5,"Do you want to help support projects that provide pathways to advance women at WPI, increase the number of women in… https://t.co/I5CKqOuDSY"
4,WPI researcher @erinsolovey will help develop new computer interfaces specific to #SignLanguage. @NSF will contribu… https://t.co/Mk3Oesm2YN
4,Ribbon cutting today at PracticePoint   https://t.co/QhpLYl4jUL @mrirobot @LaurieofMars https://t.co/QKrp7PDO9Z
4,"RT @SnowParkingBan: City of Worcester Declared Parking Ban is in effect as of 10:00 p.m. on Tuesday, December 10. City of Worcester Public…"
4,RT @KateMoncrief: @WPI in the snow #NewEngland #WinterWonderland https://t.co/UQVE5RJBwe
4,"RT @CubeTwentyThree: Was watching @adafruit 's ""Ask an Engineer"" tonight and saw some familiar names. @technocopia &amp; @WPI_Robotics  Alex Ca…"
4,"RT @AcademicMinute: On @WPI Week: Is higher education worth the cost?

Art Heinricher, professor of mathematical sciences, explains changin…"
4,Congrats professor Michael Timko of the @TimkoEnergyLab for being selected as Blue Ribbon finalist for the @NSF 202… https://t.co/vK13IEJ2lz
3,"“The academics were hard, but there were so many things I learned at WPI. I was very grateful for the small class s… https://t.co/FjKBd2x59Y"
3,Welcome to our #winter wonderland! https://t.co/9EfdMMCKP8
3,We hope you enjoyed your winter break and are excited to welcome you back to campus! https://t.co/CwREijOecw
3,WPI nuclear-forensics scientist @MKaltofen is quoted in @RollingStone for his expertise on #radioactive material. https://t.co/9MsCmylOwE
3,See how our new Associate Dean of Undergraduate Studies Suzanne Weekes aims to expand Undergraduate #research oppor… https://t.co/zvxGgII6pt
3,"Recognizing the urgent need to develop a better understanding of the #brain, behavior, and the causes of… https://t.co/m26G5AuVwJ"
3,"RT @usnews: The median starting salary for recent alumni at each of these schools is more than $70,000. https://t.co/9l5HJESCXu"
3,"RT @telegramdotcom: @WPI shows off new PracticePoint facility - a place where ideas can be tested
https://t.co/Cp4djupcrV @MassHousing @Sco…"
3,RT @physorg_biology: Researchers develop tool to identify molecular #receptors in #worms @wpi https://t.co/X4d3W8WIKc
3,"RT @SSPS_WPI: Please consider joining us for the Smart Borders conference on migration and technology on Jan. 28! For more details, email s…"
3,"RT @KFlintNBCBoston: Always fun to see a familiar face while traveling, @WorcesterFD! Came across this exhibit with a little piece of home…"
3,Meet the group behind Gompei’s impeccable fashion sense. https://t.co/PWQBJe8kBU https://t.co/KHQ1v8fiNk
3,"Join us June 16-19, 2020 for the Institute on Project-Based Learning!

The deadline to apply is February 14.… https://t.co/1eNi1i04o8"
3,"If fun is comfort food for your brain, WinterSession is your menu. Try something new in one of the many workshops a… https://t.co/kbng7o94Z4"
3,American Chemical Society honors WPI professor Bruce Bursten for contributions to #inorganicchemistry.… https://t.co/zCdjmapmhM
3,#AI is transforming the world as we know it. Panelists from across disciplines gathered to have a critical conversa… https://t.co/ueI6RGdMxK
2,“My exit from the corporate world allowed me a cushion to live up to one of my favorite mottos: pursue your passion… https://t.co/64SMdSfOjO
2,“It is really inspiring for our students to be able to relate to someone who is like them in many ways &amp; is pursuin… https://t.co/TeXDpetRod
2,"What are you thankful for, WPI? See some of what had us counting our blessings this month in the latest Month in Ph… https://t.co/6p99dXTzct"
2,"What are you looking forward to in #2020?  

#HappyNewYear https://t.co/3iC3uErrW9"
2,Visually impaired WPI student featured in @usnews for finding 'different path' as #engineer. https://t.co/ih296syYOK https://t.co/erdX0gCgPD
2,"Using $2M grant from @Energy, @TimkoEnergyLab is working on #research to one day enable energy-producing companies… https://t.co/gP4i0IGxze"
2,"Unknown variables are always an issue when developing an app. Just ask @WPIAlumni Ijeonma Ezeonyebuchi ’14, a quali… https://t.co/vD0YdiIEtI"
2,Tune in to @AcademicMinute  podcast hosted by @aacu all this week to hear WPI faculty discuss research and scholarl… https://t.co/2RSmWWy4TE
2,"The U.S. government is making substantial investments in neuroscience,"" says @WPIJagan—graduates of WPI's MS progra… https://t.co/QcYyjRVLsh"
2,"The U.S. generated more than 262M tons of municipal solid waste in 2015, about 34% of which is made up of food &amp; gr… https://t.co/StXFVApz6O"
2,Students aren’t the only ones getting something out of the Grand Challenges Scholars program; read more about the s… https://t.co/yrESOWHIJG
2,Some experts pinpoint December as the most fertile month of the year. But alongside conceiving a child may come unw… https://t.co/KuW4Cqd0fE
2,"RT @kpgoppel: Op-Ed @MassBioEd @BostonGlobe on ""Life Sciences Employment Outlook"" reaffirms need for talent to fill the job pipeline.  We'v…"
2,"RT @cpbl_wpi: Join @wpi, @chronicle, @coschoolofmines and @NEWesleyan  on Feb 4 for a webinar on PBL for program enhancement. https://t.co/…"
2,"RT @PhillyInquirer: Have you ever felt compelled to make a ""helpful"" comment on the size of a pregnant person? Do them a real favor and tal…"
2,RT @NMSTechClass: @NorthbridgePS Making things @wpi with #CoBotsProgram Thanks @BVEdFd for making it happen. https://t.co/AVJ7vzS37D
2,RT @GaudetteLab: Congratulations to @WPI Prof Sarah Wodin-Schwartz on being named a KEEN raising star! She has inspired me (and countless o…
2,RT @AlexWyglinski: Congrats to @IEEEorg @ieee_pes #scholarship recipients from @WPI @wpi_ece Alex Glanville and Barry Aslanian ...  #congra…
2,"RT @AcademicMinute: ""Despite years of effort, attracting and retaining more women into STEM fields remains an elusive challenge.""

Today on…"
2,Prof. Andy Trapp cited in @forbes for his #Refugee placement work. https://t.co/8iojGnP6kp
2,Our New Zealand project center is the site of WPI’s latest project-based learning success story— capital officials… https://t.co/M9LSgEf7BL
2,Join us for The Institute on Project-Based Learning: a 2.5-day intensive workshop where teams from colleges &amp; unive… https://t.co/8BlcOKi11k
2,"Ijeoma Ezeonyebuchi ’14, seen here at the Washington D.C. headquarters for @NPR, will be one of the #WPIJournal’s f… https://t.co/wpSCUJrLFn"
2,Goats and research and workshops—oh my! See what had us counting our blessings this month at WPI. #Herd… https://t.co/odjBbik9fb
2,"From the #NotreDame Cathedral Fire to #Apollo50th, our experts weighed in on some of the most read news stories of… https://t.co/HWK8zqrPw6"
2,From proportionally accurate battleships to models of the Foisie Innovation Studio—the only thing that limits membe… https://t.co/dWt4daYxSy
2,"Fire up your brain's setting, and get to know fellow knowledge seekers with courses during WinterSession's workshop… https://t.co/BWi3DdjMQP"
