count,text
14,"RT @witathletics: Men's Basketball: @WITMBB 85, Salve Regina 77 (Final - OT)

Box Score➡️https://t.co/HUjz0As8Au

NOTES:
🏀Leopards rally fr…"
12,"RT @witathletics: Leah Rogoz of @WITVolleyball Earns @AVCAVolleyball Honorable Mention All-America Honors https://t.co/NCQpQ6dQ55 

Notes*…"
11,RT @MassGovernor: Congratulations to the @wentworthinst Class of 2019! Best of luck and thank you for the honor of sharing some thoughts at…
10,Wentworth grads go to work. 90% of the Class of 2018 is currently employed and another 9% are pursuing post-graduat… https://t.co/hXxCqqwTmd
9,Wentworth grads use their education in the real world. 94% of the Class of 2018 are currently employed in their fie… https://t.co/5OrM7In1YA
9,"RT @WITdiversity: Are you a First Generation College Student? If so, join us next week as we celebrate YOU with our friends from @MassArt @…"
8,"The brand launch is coming. President Thompson is ready. Are you?

🗓 01.21.2020

#WorthTheWait https://t.co/ujjlfVjZDD"
8,"The Wentworth Class of 2018's median starting salary was $60,600, a slight increase from the year before. #WITPride… https://t.co/jip1zURs8I"
8,"RT @witathletics: Three from Men's Soccer Earn All-@CCC_Sports Honors ⤵️

https://t.co/BwxYWAbfQM

⚽️Junior Ryan Firmin named to the first…"
8,RT @colleges_fenway: COF Students: Still need a spring course? Cross-Registration still open! Search courses at: https://t.co/7vbUScOB9b ht…
8,"RT @WITadmissions: For the 13th consecutive year, Wentworth Institute of Technology is a “Best in the Northeast” selection in @ThePrinceton…"
8,"In celebration of commencement this weekend, we will be sharing some of our students reflections on their time at W… https://t.co/MMQy0hKFUE"
7,"RT @witathletics: We're on the road for #GAMEDAY as WIT Hoops heads to Beverly for a doubleheader at Endicott!

@WITMBB - 5:30 vs @Endicott…"
7,"RT @witathletics: Rogoz Named to @AVCAVolleyball All-Region Team https://t.co/dm24VPyLlm

Notes*
-First player in WIT women's volleyball hi…"
7,"New brand means a new Twitter icon 👀👀 Six. More. Days.

#WorthTheWait https://t.co/ajtY3aTpWu"
6,"RT @witathletics: Special thanks to @GordonEdes for giving the boys of @Witbaseball a private tour of historic @fenwaypark! 

In addition t…"
6,"RT @WITadmissions: For 2020, Wentworth Institute of Technology’s Design Program has been ranked #2 in Massachusetts by @CollegeFactual, pla…"
6,"Congratulations, Class of 2019!"
5,We are excited to have @MassGovernor delivering the keynote address at our Spring 2019 commencement on Sunday!… https://t.co/tbsg36Ab10
5,RT @witathletics: 'Tis the season of giving! Last week we collected 443 books in a division-wide book-off initiated by @WentworthMLAX &amp; @We…
5,"RT @WITCoopsCareers: Through studying Mechanical Engineering @wentworthinst Junior, Jorge Martins, hopes to ""contribute towards the develop…"
5,Congratulations to all our leopards on the #LastDayofFinals!! Have a well-deserved restful break 🎉👏🏽👏🏽☀️ https://t.co/6mIn0oSqTx
4,Wentworth recently signed a letter of intent to  develop a 200-bed dormitory at 630 Huntington Ave.… https://t.co/HElm3oxE8E
4,"The CO-OP + CAREER Fair is 1 week away! Have you registered on WITworks? Don't forget to download the app ""Symplici… https://t.co/3xyGimCZWq"
4,"RT @witathletics: Wentworth Athletics Partners with @BostonSchools &amp; @SpOlympicsMA for One-Day Skills Clinic https://t.co/DC4LdqbSUC

""It r…"
4,"RT @mfaboston: @wentworthinst Welcome back, Leopards! Come by anytime—your student ID gets you in for free! 

🐆: ""Group of Two Leopards"" (a…"
4,RT @masstlcef: Congrats to all the #TechnovationMA and #TechnovationRI teams at today’s showcase ⁦@wentworthinst⁩. You all did amazing work…
4,RT @WITdiversity: Make sure to add this to your calendar! Our Annual Pride Brunch will be here before we know it. https://t.co/ImmELIkSan
4,"RT @WITCoopsCareers: Hey @wentworthinst international students heading out on co-op soon, you won't want to miss our upcoming info session.…"
4,RT @WITCoopsCareers: Considering a co-op with a start-up? @wentworthinst Junior Sophia Seltenreich shares that you'll need to be flexible a…
4,Pop up ice cream shop in front of the WAA Board Room in Beatty Hall from 6-7pm today! Come chat with President Thom… https://t.co/vFjYvMrbqu
3,https://t.co/2tvv7N1pMF
3,"We wish to give President Pantić one final round of applause as she prepares to end her tenure at Wentworth, by cel… https://t.co/3DN37XbgXM"
3,RT @ebjets: Last night at the @wentworthinst Boston Scholars Dinner! We are excited to launch our #dualenrollment partnership with you next…
3,"RT @WITadmissions: Join us on 10/27 or 11/24 for our Fall Open House at Wentworth!

Why wait four years to begin your professional life? We…"
3,RT @WITadmissions: HackWITus returns for its 4th year at Wentworth where students from all over the Boston area come to bring their ideas t…
3,RT @WITadmissions: Alec Hewitt is a senior in the undergraduate Electromechanical Engineering program. He recently completed his first co-o…
3,"RT @WIT_SSC: Important September dates to add to your calendar!

5th - First day of classes
12th - Last day of Add/Drop
13th - Enrollment V…"
3,"RT @WITTechSpot: We're excited to bring a new check-in experience to @WITXLR8 

Tap your ID and let us know what you think! https://t.co/xl…"
3,"RT @WITNews: Wentworth co-op student plays key role for one of @AVTECHSoftware top products

https://t.co/eeSabKaler https://t.co/BEHplSPb64"
3,"RT @WITLibrary: Without President Pantic's tremendous support, we would not have the beautiful Library that we have today for out students…"
3,RT @WITCoopsCareers: Good luck to all the @wentworthinst students starting co-op today! Not sure what's expected of you on your first day?…
