count,text
20,"We were serious earlier this week when we told you 
@WSUpresident was hard at work on campus clean up efforts. Than… https://t.co/hySJVuEdOz"
16,"WSU Alert 12/01/2019, 2:00PM: WSU will be closed Monday, 12/02/2019, due to inclement weather. ALL day and night cl… https://t.co/d2THqvk1AE"
15,"We are officially a week away from our first ever #woostateAMA with President Maloney.

Still not sure what you sho… https://t.co/AwMlsnkJiR"
15,Our thoughts are with everyone affected by today’s tragedy. ❤️💔 https://t.co/3aNYK91e0i
12,Math Madness AND a dub for @WSUWBBall? We'll call that a successful Thursday afternoon. https://t.co/VuJytDQpM4
11,Have you thought about pursuing a Master's in Criminal Justice? Worcester State now has an affiliation agreement wi… https://t.co/brNnnn1AJm
11,"Exams are officially over! We made it! 

Enjoy the break, #woostate. https://t.co/IMs7EezS96"
11,"Ever wished you could bend @WSUpresident's ear?  

Projects? Programs? Parking? 

No matter the question, this is t… https://t.co/0losEjBIrd"
10,"We hope your Organic Chemistry final turned out even better than this beautiful sunrise, Steph!

#woostate… https://t.co/2zYBoQ52tJ"
10,#woogradwednesday 👊 https://t.co/AulIhOetVd
9,"Goodbye December, Hello January! Happy New Year #Lancers! What's everyone's goal for the upcoming academic semester… https://t.co/BWJ8qRez6t"
8,Worcester State University will be closed to observe Martin Luther King Day on January 20. https://t.co/Ek2GKdlGZW
8,"Tanya Mears, Ph.D, associate professor in History and Political Science, recently spoke at the Diverse Professional… https://t.co/bAHOaPLoQX"
8,Shout to all the great Worcester State faculty members who made our inaugural Faculty Showcase of Scholarship and C… https://t.co/M5mutXstCP
8,"Brien Cullen is a 1977 Worcester State grad, four-year starter (when football was a club team), and the only coach… https://t.co/VUpoeH782t"
7,"Welcome to #woostate Lauren and Sean! 

We love our transfer students! DYK in 2019, 530 transfer students enrolled… https://t.co/unWdlhI9sb"
7,Welcome to #woostate Emma! 🏀🎉 https://t.co/CycGPNk1wC
7,Want to hear more about #woostate women's basketball and their trip to Panama? Listen here! https://t.co/yASz0juoXP https://t.co/c6EwieftVT
7,"WSU Alert 12/03/2019 Update 9:11 AM : WSU opening for 12/3/19 has been delayed 2 hours, the University will open at 12pm."
7,"Impressive is the word we like to use when discussing our students too. 

Occupational Therapy in action. 👊… https://t.co/DfZjaHU6n2"
7,"Due to weather conditions, the university will not open until noon on Dec. 17.

A decision on the remainder of the… https://t.co/cRGiu58jVw"
7,"Big news!

Worcester State is a winner of the 2019 #NEFoodVision prize! Together with @WPI and @babson we are suppo… https://t.co/vYQNclmMmy"
6,We are excited to have you Emma! Congratulations! #woostate https://t.co/hd93T8o9iH
6,"In two days, an information session will take place to provide students and faculty with information about Massachu… https://t.co/dGk6Iud65P"
6,"Have you ever listened to African Drumming?🥁

Now is your chance!

Come hear students play fun, funky, upbeat music… https://t.co/hWmr2OTPR7"
6,Congratulations!! https://t.co/BF5do9hccU https://t.co/kwkKYHVIgf
6,Congratulations and welcome! #woostate https://t.co/OAO4MFXg6G
6,"Are you ready for Spring semester? Classes begin on January 13!

To stay on top of important dates, save this to yo… https://t.co/LN4uSLsjHZ"
5,"🏒 On Saturday December 7, hockey alumni, donors and friends were on hand at the Worcester Ice Center to dedicate ou… https://t.co/ZqtmbX4AAB"
5,"Welcome to #woostate! 👊

A fun Worcester fact for the day as you prep to make this your new home: the giant inflata… https://t.co/GfAa4Wo6uU"
5,"We are excited to team up with @Fitchburg_State and @SalemState on the Equity and Engagement Initiative, which will… https://t.co/MP8xL5ZijV"
5,"WSU Alert 12/16/2019 :12:09PM: WSU opening for Tuesday, 12/17/2019,due to the predicted inclement weather, the Univ… https://t.co/kuZeSslCfh"
5,"TODAY: 

Nathan Angelo, assistant professor in History/Political Science, hosts the launch of his book, One America… https://t.co/IaLxeN88cj"
5,"Stop by to hear African Drumming students play fun, funky, upbeat music from the cultural vibrant nation of Ghana t… https://t.co/P0GEFNeC2R"
5,"March Madness is so 2019.

Coming in 2020...

#woostate #woogives https://t.co/bfUBT7UKBO"
5,"It was 1972 when three Worcester State students began a tradition of giving. 47 years later, @pts_worcester is stil… https://t.co/lhyzVrj8BE"
5,"'Tis the season...time to give yourself the best gift we can think of.  

✔️Small classes
✔️Great faculty
✔️A Princ… https://t.co/8EtDa1lrs1"
4,"🏀🗑️☀️🎉

#woostate https://t.co/c6EwieftVT"
4,"Who doesn't love pizza? 🍕

Stop by today's fundraiser night at Antonio's Pizza that will be hosted by The SGA Fundr… https://t.co/2tKR90GX9R"
4,"We have a few things on tap today for the @WSULancers:
🏃‍♀️🏃Track &amp; Field - Emmanuel College Invitational 
🏀M - 3pm… https://t.co/4ZSMwYnRBi"
4,Today is the last day to submit your letter to nominate full-time tenured or tenure-track professors for the George… https://t.co/q9Df4fehAA
4,Success on and off the field - that's what we like to see! 👊 #woostate https://t.co/lJu8iN6mDA
4,"Mark your calendar!

The information session about the Massachusetts Undergraduate Research Conference and the WSU… https://t.co/bccMZV7FnN"
4,"Looking for a career in sports? Check out the Worcester Sports Management Summit, Fri. Jan. 17 in the Wellness Cent… https://t.co/KOxpFrTDcL"
