count,text
6,"WSU Alert 12/01/2019, 2:00PM: WSU will be closed Monday, 12/02/2019, due to inclement weather. ALL day and night cl… https://t.co/d2THqvk1AE"
4,"Big news!

Worcester State is a winner of the 2019 #NEFoodVision prize! Together with @WPI and @babson we are suppo… https://t.co/vYQNclmMmy"
3,"We are officially a week away from our first ever #woostateAMA with President Maloney.

Still not sure what you sho… https://t.co/AwMlsnkJiR"
3,Our thoughts are with everyone affected by today’s tragedy. ❤️💔 https://t.co/3aNYK91e0i
3,Have you thought about pursuing a Master's in Criminal Justice? Worcester State now has an affiliation agreement wi… https://t.co/brNnnn1AJm
3,"Ever wished you could bend @WSUpresident's ear?  

Projects? Programs? Parking? 

No matter the question, this is t… https://t.co/0losEjBIrd"
2,"Who doesn't love pizza? 🍕

Stop by today's fundraiser night at Antonio's Pizza that will be hosted by The SGA Fundr… https://t.co/2tKR90GX9R"
2,"We were serious earlier this week when we told you 
@WSUpresident was hard at work on campus clean up efforts. Than… https://t.co/hySJVuEdOz"
2,Want to hear more about #woostate women's basketball and their trip to Panama? Listen here! https://t.co/yASz0juoXP https://t.co/c6EwieftVT
2,Today is the last day to submit your letter to nominate full-time tenured or tenure-track professors for the George… https://t.co/q9Df4fehAA
2,"TOMORROW:

We hope you took advantage of the snow day to get your questions for our #woostateAMA all polished up an… https://t.co/5TcxfweqcV"
2,"TODAY: 

Nathan Angelo, assistant professor in History/Political Science, hosts the launch of his book, One America… https://t.co/IaLxeN88cj"
2,"Looking for a career in sports? Check out the Worcester Sports Management Summit, Fri. Jan. 17 in the Wellness Cent… https://t.co/KOxpFrTDcL"
2,"It was 1972 when three Worcester State students began a tradition of giving. 47 years later, @pts_worcester is stil… https://t.co/lhyzVrj8BE"
2,Congratulations and welcome! #woostate https://t.co/OAO4MFXg6G
2,"#Thanksgiving. #BlackFriday. #CyberMonday. While you're setting those alarms and reminders, make sure you don't for… https://t.co/Y8c4fVrkC0"
1,Why spend all of break on YouTube &amp; cat memes when in Wintersession you can study the internet and get ahead in you… https://t.co/YQ3DzcmWvF
1,Welcome to #woostate Emma! 🏀🎉 https://t.co/CycGPNk1wC
