count,text
1997,.@MissAmerica can be a scientist because a scientist IS NOW #MissAmerica2020!! 👩‍🔬👸 Congratulations to @VT_alumni… https://t.co/Pb4crGeqgT
1824,"Talk about a @VT_alumni power team: @VT_Science alumna @MissAmerica 2020, Camille Schrier, and @hodakotb! 🙌💪🤩🥰 https://t.co/A1X3XA2P1T"
1172,We never get sick of seeing our Hokies meeting @hodakotb  🥰🦃 https://t.co/sjxCu1qcha
743,Remember that time @HokiesFB took down UNC after SIX OVERTIMES in the #VTHomecoming game? You know...only the longe… https://t.co/3r4qIf4ssH
709,The most versatile mascot. 💼 😃 💁‍♀️ 😍 https://t.co/rQ633HNzkP
708,Snowkie season is back ❄️🦃 https://t.co/LIwGfBQlRI
663,#OtterSandman checking in to make sure you’re not skipping any classes 🦦 https://t.co/blPh6PxXKn
582,"The first peaceful #VirginiaTech snowfall of 2020 is nice and all, but not as nice as having all of your Snowkies h… https://t.co/5k1230Nul5"
552,😭😭😭 https://t.co/Kcezeh1eZl
526,"Our very own @VT_Science @VT_alumni, @MissAmericaVA, is a @MissAmerica FINALIST! 👩‍🔬 🎉 #GoHokies 🦃 https://t.co/HIUPOWzkrL"
508,"@ snow: Thanks for making us even more beautiful today 🥰 🌨
@VTFacilities: Thanks for keeping us safe AND beautiful… https://t.co/eRpWhqCfPR"
422,"Top 2019 #VirginiaTech moment #3: While #Hokies were on spring break, we discovered an OTTER living in the Duck Pon… https://t.co/Gub8mMUpLn"
394,"Top 2019 #VirginiaTech moment #2: @VT_Science alumna, @CamilleSchrier, being crowned @MissAmerica 2020 and showing… https://t.co/LjXh54ALM2"
387,OUR HOKIES ARE BACK!! 😍 Have the best semester and never leave us again. 😅💪 https://t.co/XlEy4UGfz6
361,"""Life's most persistent and urgent question is, 'What are you doing for others?’” 🗣

Thank you, Martin Luther King… https://t.co/s2ttSrLFVH"
344,Happy holidays from our Hokie fam to yours! 🥰🎁 https://t.co/QbdwcutRyA
322,"What 👏 a 👏 year. 👏 

Here's to 2020 and the next decade, Hokies! 🥳 🦃 https://t.co/k3PxBe6m55"
317,"Thank you, @VaTechPolice, for keeping #HokieNation safe every day. 🧡👮🦃 #NationalLawEnforcementAppreciationDay https://t.co/BVcDDOzFxw"
255,"Over the next few days, we'll be sharing some of our top ten favorite 2019 moments to wrap up the year. 🥳 In the sp… https://t.co/s0gHWDRnBe"
247,"OH HI TOP THREE. 👋 Go @VT_Science  @VT_alumni, @MissAmericaVA! #MissAmerica2020 #WomenInSTEM 👩‍🔬👸🦃 https://t.co/0s56ZjiH4h"
235,Still not over all of these adorable #HokieBaby graduates. How they did it...we're not sure. 🤣🥰🎓👶 https://t.co/hXLifb5VY0
232,📢 Hey #VT24 Early Decision applicants: Decisions will be posted by 5 p.m. today. 😮 We know you'll be excited about… https://t.co/7J941XCfxJ
229,🎳 🎳 🎳 https://t.co/9NwoDvM00S
226,Thank you @VTFacilities for ~sprucing~ up our Blacksburg campus. 🎄 https://t.co/NxxHfGdRfn
215,"Good luck studying, #Hokies! You’ll do great. Don’t forget to take study breaks to relieve stress. 💪 📚 https://t.co/Jt0l8AXuCn"
213,".@USNavy LCDR &amp; @VTCorpsofCadets alumnus, Mike Huber, flew the VT flag as he served as executive officer onboard th… https://t.co/5dnsj5oz8q"
204,"Going out to meet some new Hokie friends for the 46th time this year, only to be disappointed by the emptiness.… https://t.co/HczTCmsbV5"
193,"Help us cheer on @VT_Science alumna and @MissAmericaVA, Camille Schrier, tonight at 8 p.m. EST during the… https://t.co/sBd5BFsnVz"
188,"Happy New Year, #HokieNation! 🎉🎆 2020 is going to be great! 🥳 https://t.co/XRGw2na7aw"
141,"Yeah, you could say that. 🥰 🌨 #SnowkieNation https://t.co/yWnZril8Pv"
116,Top 2019 #VirginiaTech moment #5: Partnering with @childrenshealth to create the nation’s first innovation campus f… https://t.co/PRp2lhEnxv
108,*ottered 🥰 🦦 https://t.co/2SYFuMzy99
97,"From #HokieGrad ➡️ @VT_alumni 

Congratulations, Hokies! 🦃🎉🎓 https://t.co/FZaF5fNsHG"
89,The #1 top 2019 #VirginiaTech moment goes to our #1 Hokie fans (@AndersonPaak &amp; @FitzAndTantrums) &amp; the launch of o… https://t.co/05eCpfpGP6
